id,text,choices,correctIndex,topic,explanation
42,Which database type is document-oriented?,MongoDB|MySQL|PostgreSQL|OracleDB,0,FullStack,The correct answer is MongoDB because it directly matches the concept asked in this question.
43,Which HTTP status indicates resource created?,201|200|404|500,0,FullStack,The correct answer is 201 because it directly matches the concept asked in this question.
44,Which Angular concept groups related components and services?,NgModule|ComponentGroup|ServicePackage|DirectiveModule,0,Angular,The correct answer is NgModule because it directly matches the concept asked in this question.
45,"In Spring Boot, which file enables configuring logging levels?",application.properties|pom.xml|README.md|Dockerfile,0,SpringBoot,The correct answer is application.properties because it directly matches the concept asked in this question.
46,Which React hook memoizes a value?,useMemo|useCallback|useState|useRef,0,React,The correct answer is useMemo because it directly matches the concept asked in this question.
47,Which authentication method uses username/password plus a token?,JWT with credentials|Basic auth only|API key only|Digest auth only,0,FullStack,The correct answer is JWT with credentials because it directly matches the concept asked in this question.
48,Which CSS methodology scopes styles to components in React?,CSS Modules|Global CSS|Inline styles only|SASS only,0,React,The correct answer is CSS Modules because it directly matches the concept asked in this question.
49,Which command builds an Angular project for production?,ng build --prod|npm run build:prod|ng serve --prod|npm build --prod,0,Angular,The correct answer is ng build --prod because it directly matches the concept asked in this question.
50,Which layer typically handles business logic in a full-stack app?,Backend|Frontend|Database|Reverse proxy,0,FullStack,The correct answer is Backend because it directly matches the concept asked in this question.
51,What is the core idea behind the Spring Framework?,Inversion of Control|Manual memory management|Template metaprogramming|Binary serialization,0,spring,The correct answer is Inversion of Control because it directly matches the concept asked in this question.
52,Which Spring container is commonly used in enterprise applications?,ApplicationContext|ServletContext|JndiContext|BeanRegistryOnly,0,spring,The correct answer is ApplicationContext because it directly matches the concept asked in this question.
53,What does IoC stand for in Spring?,Inversion of Control|Injection of Components|Interface over Class|Instance object creation,0,spring,The correct answer is Inversion of Control because it directly matches the concept asked in this question.
54,Which feature of Spring wires dependencies automatically?,Dependency Injection|Aspect Weaving|Transaction Propagation|Bean Post Processing,0,spring,The correct answer is Dependency Injection because it directly matches the concept asked in this question.
55,Which annotation marks a class as a Spring-managed component?,@Component|@Bean|@Value|@ImportResourceOnly,0,spring,The correct answer is @Component because it directly matches the concept asked in this question.
56,Which annotation is specialized for service-layer classes?,@Service|@Repository|@Qualifier|@PrimaryKey,0,spring,The correct answer is @Service because it directly matches the concept asked in this question.
57,Which annotation is specialized for DAO or persistence classes?,@Repository|@ControllerAdvice|@ConfigurationProperties|@EnableCaching,0,spring,The correct answer is @Repository because it directly matches the concept asked in this question.
58,Which annotation is commonly used for MVC controllers returning views?,@Controller|@RestController|@Bean|@Profile,0,spring,The correct answer is @Controller because it directly matches the concept asked in this question.
59,Which XML element was historically used to enable component scanning?,context:component-scan|beans:scan|spring:discover|mvc:autowire,0,spring,The correct answer is context:component-scan because it directly matches the concept asked in this question.
60,Which annotation enables component scanning in Java config?,@ComponentScan|@ScanComponents|@EnableBeans|@DiscoverPackages,0,spring,The correct answer is @ComponentScan because it directly matches the concept asked in this question.
61,Which annotation marks a class as a source of bean definitions?,@Configuration|@Component|@Import|@BeanFactory,0,spring,The correct answer is @Configuration because it directly matches the concept asked in this question.
62,Which annotation defines a bean method inside a configuration class?,@Bean|@Autowired|@Inject|@Order,0,spring,The correct answer is @Bean because it directly matches the concept asked in this question.
63,Which dependency injection style is generally preferred in Spring?,Constructor injection|Field injection|Setter injection only|XML injection only,0,spring,The correct answer is Constructor injection because it directly matches the concept asked in this question.
64,Which annotation can inject a dependency by type?,@Autowired|@ResponseBody|@TransactionalEventListener|@EnableAspectJAutoProxy,0,spring,The correct answer is @Autowired because it directly matches the concept asked in this question.
65,Which JSR annotation can also be used for dependency injection in Spring?,@Inject|@PathVariable|@InitBinder|@AliasFor,0,spring,The correct answer is @Inject because it directly matches the concept asked in this question.
66,Which annotation injects property values into fields or parameters?,@Value|@PropertySource|@Profile|@Lazy,0,spring,The correct answer is @Value because it directly matches the concept asked in this question.
67,Which annotation helps choose a specific bean when multiple candidates exist?,@Qualifier|@Primary|@DependsOn|@ScopeProxy,0,spring,The correct answer is @Qualifier because it directly matches the concept asked in this question.
68,Which annotation marks one bean as the default candidate among multiple beans?,@Primary|@Order|@Lazy|@Fallback,0,spring,The correct answer is @Primary because it directly matches the concept asked in this question.
69,Which bean scope creates a single shared instance per container?,singleton|prototype|request|session,0,spring,The correct answer is singleton because it directly matches the concept asked in this question.
70,Which bean scope creates a new bean instance each time it is requested?,prototype|singleton|application|globalSession,0,spring,The correct answer is prototype because it directly matches the concept asked in this question.
71,Which Spring scope is tied to a single HTTP request?,request|singleton|prototype|websocketOnly,0,spring,The correct answer is request because it directly matches the concept asked in this question.
72,Which scope stores a bean per HTTP session?,session|request|prototype|singleton,0,spring,The correct answer is session because it directly matches the concept asked in this question.
73,Which interface can customize beans before and after initialization?,BeanPostProcessor|FactoryBean|ResourceLoader|MessageSource,0,spring,The correct answer is BeanPostProcessor because it directly matches the concept asked in this question.
74,Which callback method can run after bean properties are set?,afterPropertiesSet|destroySingletons|postProcessBeanFactory|resolveArgument,0,spring,The correct answer is afterPropertiesSet because it directly matches the concept asked in this question.
75,Which annotation can designate an initialization method on a bean?,@PostConstruct|@PreDestroy|@InitBinder|@EnableScheduling,0,spring,The correct answer is @PostConstruct because it directly matches the concept asked in this question.
76,Which annotation can designate cleanup logic before bean destruction?,@PreDestroy|@PostConstruct|@Autowired|@Bean,0,spring,The correct answer is @PreDestroy because it directly matches the concept asked in this question.
77,Which Spring interface allows lazy custom creation of complex objects?,FactoryBean|ApplicationListener|BeanNameAware|ScopeMetadataResolver,0,spring,The correct answer is FactoryBean because it directly matches the concept asked in this question.
78,What does the BeanFactory provide in Spring?,Basic bean management|HTTP routing|SQL migrations|Class loading only,0,spring,The correct answer is Basic bean management because it directly matches the concept asked in this question.
79,What additional features does ApplicationContext provide over BeanFactory?,Internationalization and events|Direct JDBC pooling|Built-in servlet rendering only|Bytecode compilation,0,spring,The correct answer is Internationalization and events because it directly matches the concept asked in this question.
80,Which Spring module provides AOP support?,Spring AOP|Spring JDBC|Spring WebFlux|Spring LDAP only,0,spring,The correct answer is Spring AOP because it directly matches the concept asked in this question.
81,What does AOP stand for?,Aspect-Oriented Programming|Application Object Processing|Automated Output Parsing|Access-Oriented Policies,0,spring,The correct answer is Aspect-Oriented Programming because it directly matches the concept asked in this question.
82,Which AOP concept represents cross-cutting logic?,Aspect|BeanDefinition|Dispatcher|FactoryMethod,0,spring,The correct answer is Aspect because it directly matches the concept asked in this question.
83,Which AOP concept identifies where advice should run?,Pointcut|Scope|Context|Profile,0,spring,The correct answer is Pointcut because it directly matches the concept asked in this question.
84,Which AOP advice runs before a matched method executes?,@Before|@AfterReturning|@Around|@AfterThrowing,0,spring,The correct answer is @Before because it directly matches the concept asked in this question.
85,Which AOP advice can control whether the target method proceeds?,@Around|@Before|@After|@Pointcut,0,spring,The correct answer is @Around because it directly matches the concept asked in this question.
86,Which proxy mechanism is used when a bean implements interfaces by default?,JDK dynamic proxies|CGLIB only|ByteBuddy only|No proxy is created,0,spring,The correct answer is JDK dynamic proxies because it directly matches the concept asked in this question.
87,Which proxy mechanism is often used for class-based proxies in Spring?,CGLIB|JDK RMI|Javassist RPC|Servlet filters,0,spring,The correct answer is CGLIB because it directly matches the concept asked in this question.
88,Which annotation enables proxy-based transaction management?,@EnableTransactionManagement|@EnableWebMvc|@EnableCaching|@EnableAsync,0,spring,The correct answer is @EnableTransactionManagement because it directly matches the concept asked in this question.
89,Which annotation demarcates transactional methods?,@Transactional|@Transacted|@Commit|@RollbackOnly,0,spring,The correct answer is @Transactional because it directly matches the concept asked in this question.
90,What is the default transaction propagation in Spring?,REQUIRED|REQUIRES_NEW|SUPPORTS|MANDATORY,0,spring,The correct answer is REQUIRED because it directly matches the concept asked in this question.
91,Which propagation starts a new transaction and suspends any existing one?,REQUIRES_NEW|REQUIRED|NESTED|NEVER,0,spring,The correct answer is REQUIRES_NEW because it directly matches the concept asked in this question.
92,Which transaction isolation level prevents dirty reads?,READ_COMMITTED|READ_UNCOMMITTED|NONE|DEFAULT_ALWAYS,0,spring,The correct answer is READ_COMMITTED because it directly matches the concept asked in this question.
93,Which unchecked exception type triggers rollback by default in Spring transactions?,RuntimeException|IOException|SQLException only|CheckedException,0,spring,The correct answer is RuntimeException because it directly matches the concept asked in this question.
94,Which interface abstracts programmatic transaction control?,PlatformTransactionManager|TransactionTemplateBuilder|JdbcAccessor|PersistenceUnitManager,0,spring,The correct answer is PlatformTransactionManager because it directly matches the concept asked in this question.
95,Which helper class simplifies programmatic transactions?,TransactionTemplate|JdbcTemplate|RestTemplate|BeanTemplate,0,spring,The correct answer is TransactionTemplate because it directly matches the concept asked in this question.
96,Which Spring module simplifies JDBC access?,Spring JDBC|Spring Test|Spring Tiles|Spring Script,0,spring,The correct answer is Spring JDBC because it directly matches the concept asked in this question.
97,Which class is central to Spring JDBC operations?,JdbcTemplate|JdbcManager|ResultMapper|ConnectionBean,0,spring,The correct answer is JdbcTemplate because it directly matches the concept asked in this question.
98,Which interface maps a JDBC ResultSet row to an object?,RowMapper|BeanMapper|EntityScanner|RecordFactory,0,spring,The correct answer is RowMapper because it directly matches the concept asked in this question.
99,Which exception hierarchy does Spring use for data access errors?,DataAccessException|PersistenceError|JdbcFailureThrowable|DbRuntimeFault,0,spring,The correct answer is DataAccessException because it directly matches the concept asked in this question.
100,Which Spring feature translates vendor-specific persistence exceptions?,Exception translation|Bean scoping|View resolution|Message conversion,0,spring,The correct answer is Exception translation because it directly matches the concept asked in this question.
101,Which annotation can enable exception translation for repositories?,@Repository|@Service|@ComponentScan|@Import,0,spring,The correct answer is @Repository because it directly matches the concept asked in this question.
102,Which Spring module integrates with ORM frameworks like Hibernate?,Spring ORM|Spring WS|Spring Shell|Spring Session,0,spring,The correct answer is Spring ORM because it directly matches the concept asked in this question.
103,Which package contains core dependency injection support?,spring-beans|spring-test|spring-websocket|spring-messaging,0,spring,The correct answer is spring-beans because it directly matches the concept asked in this question.
104,Which package contains the ApplicationContext abstraction?,spring-context|spring-jdbc|spring-aspects|spring-r2dbc,0,spring,The correct answer is spring-context because it directly matches the concept asked in this question.
105,Which package contains dispatcher and web MVC infrastructure?,spring-webmvc|spring-core|spring-jcl|spring-expression,0,spring,The correct answer is spring-webmvc because it directly matches the concept asked in this question.
106,Which front controller is central to Spring MVC?,DispatcherServlet|ContextLoaderListener|CharacterEncodingFilter|ViewResolver,0,spring,The correct answer is DispatcherServlet because it directly matches the concept asked in this question.
107,Which annotation maps HTTP requests onto handler classes or methods?,@RequestMapping|@ModelAttribute|@SessionAttributes|@MatrixVariable,0,spring,The correct answer is @RequestMapping because it directly matches the concept asked in this question.
108,Which annotation is a shortcut for HTTP POST mappings?,@PostMapping|@RequestBody|@PatchMapping|@PutMapping,0,spring,The correct answer is @PostMapping because it directly matches the concept asked in this question.
109,Which annotation binds a URL path segment to a method parameter?,@PathVariable|@RequestParam|@CookieValue|@RequestHeader,0,spring,The correct answer is @PathVariable because it directly matches the concept asked in this question.
110,Which annotation binds a query parameter to a method parameter?,@RequestParam|@PathVariable|@ModelAttribute|@ResponseStatus,0,spring,The correct answer is @RequestParam because it directly matches the concept asked in this question.
111,Which annotation binds the HTTP request body to an object?,@RequestBody|@RequestParam|@ControllerAdvice|@CrossOrigin,0,spring,The correct answer is @RequestBody because it directly matches the concept asked in this question.
112,Which annotation writes a controller return value directly to the response body?,@ResponseBody|@RequestBody|@ModelAttribute|@ExceptionHandler,0,spring,The correct answer is @ResponseBody because it directly matches the concept asked in this question.
113,Which controller stereotype combines @Controller and @ResponseBody?,@RestController|@ControllerAdvice|@Configuration|@SessionScope,0,spring,The correct answer is @RestController because it directly matches the concept asked in this question.
114,Which Spring MVC abstraction resolves logical view names to views?,ViewResolver|HandlerAdapter|LocaleResolver|BeanWrapper,0,spring,The correct answer is ViewResolver because it directly matches the concept asked in this question.
115,Which object holds model attributes and the selected view in Spring MVC?,ModelAndView|ResponseEntity|BindingResult|BeanDefinition,0,spring,The correct answer is ModelAndView because it directly matches the concept asked in this question.
116,Which interface processes incoming requests before a controller executes?,HandlerInterceptor|BeanPostProcessor|Converter|Formatter,0,spring,The correct answer is HandlerInterceptor because it directly matches the concept asked in this question.
117,Which MVC component adapts handlers to the DispatcherServlet?,HandlerAdapter|ViewResolver|ResourceHandler|TaskExecutor,0,spring,The correct answer is HandlerAdapter because it directly matches the concept asked in this question.
118,Which annotation handles exceptions within a controller?,@ExceptionHandler|@Controller|@ResponseBody|@InitBinder,0,spring,The correct answer is @ExceptionHandler because it directly matches the concept asked in this question.
119,Which annotation applies exception handling globally across controllers?,@ControllerAdvice|@RestController|@Order|@Configuration,0,spring,The correct answer is @ControllerAdvice because it directly matches the concept asked in this question.
120,Which object stores validation and binding errors in Spring MVC?,BindingResult|ModelMap|FlashMap|WebDataBinderFactory,0,spring,The correct answer is BindingResult because it directly matches the concept asked in this question.
121,Which annotation triggers bean validation on a request body or model object?,@Valid|@ValidatedOnly|@Check|@Assert,0,spring,The correct answer is @Valid because it directly matches the concept asked in this question.
122,Which Spring interface converts text to typed objects?,Converter|Resolver|Pointcut|Advisor,0,spring,The correct answer is Converter because it directly matches the concept asked in this question.
123,Which Spring interface formats typed objects for display and parsing?,Formatter|Mapper|Adapter|Compiler,0,spring,The correct answer is Formatter because it directly matches the concept asked in this question.
124,Which feature supports locale-specific message resolution?,MessageSource|ViewResolver|BeanWrapper|TaskScheduler,0,spring,The correct answer is MessageSource because it directly matches the concept asked in this question.
125,Which file type is often used to externalize messages for i18n?,properties files|YAML schemas only|SQL scripts|Servlet descriptors,0,spring,The correct answer is properties files because it directly matches the concept asked in this question.
126,Which annotation loads a properties file into the environment?,@PropertySource|@Profile|@DependsOn|@Role,0,spring,The correct answer is @PropertySource because it directly matches the concept asked in this question.
127,Which Spring abstraction provides access to property values and profiles?,Environment|ApplicationEvent|Resource|BeanFactory,0,spring,The correct answer is Environment because it directly matches the concept asked in this question.
128,Which annotation restricts a bean to specific active profiles?,@Profile|@Primary|@DependsOn|@Order,0,spring,The correct answer is @Profile because it directly matches the concept asked in this question.
129,Which resource prefix loads a classpath resource in Spring?,classpath:|file-http:|jar-only:|beans:,0,spring,The correct answer is classpath: because it directly matches the concept asked in this question.
130,Which Spring abstraction represents external resources uniformly?,Resource|Asset|Endpoint|ArchiveEntry,0,spring,The correct answer is Resource because it directly matches the concept asked in this question.
131,Which interface loads resources from various locations?,ResourceLoader|ClassLoaderFactory|ViewLoader|ContextScanner,0,spring,The correct answer is ResourceLoader because it directly matches the concept asked in this question.
132,Which Spring feature publishes and listens for application-level events?,Application events|AOP advice|Bean scopes|MVC interceptors,0,spring,The correct answer is Application events because it directly matches the concept asked in this question.
133,Which interface listens for Spring application events?,ApplicationListener|EventSubscriber|BeanObserver|LifecycleHook,0,spring,The correct answer is ApplicationListener because it directly matches the concept asked in this question.
134,Which method can publish an event from the application context?,publishEvent|dispatchEventNow|notifyBeans|sendContextMessage,0,spring,The correct answer is publishEvent because it directly matches the concept asked in this question.
135,Which annotation registers a method as an event listener?,@EventListener|@Listener|@Observe|@AfterEvent,0,spring,"In Spring Framework, the annotation used to register a method as an event listener is @EventListener. 

Example:

@Component
public class UserEventListener {

    @EventListener
    public void handleUserCreatedEvent(UserCreatedEvent event) {
        System.out.println("User created: " + event.getUserId());
    }
}

When a UserCreatedEvent is published, Spring automatically invokes the annotated method"
136,Which annotation enables asynchronous method execution in Spring?,@EnableAsync|@EnableScheduling|@EnableCaching|@EnableRetry,0,spring,The correct answer is @EnableAsync because it directly matches the concept asked in this question.
137,Which annotation marks a method to run asynchronously?,@Async|@Scheduled|@Transactional|@Lazy,0,spring,The correct answer is @Async because it directly matches the concept asked in this question.
138,Which TaskExecutor implementation is commonly used for async execution?,ThreadPoolTaskExecutor|SimpleJdbcExecutor|ServletTaskBridge|BeanTaskFactory,0,spring,The correct answer is ThreadPoolTaskExecutor because it directly matches the concept asked in this question.
139,Which annotation enables scheduled task execution?,@EnableScheduling|@EnableAsync|@EnableWebMvc|@EnableLoadTimeWeaving,0,spring,The correct answer is @EnableScheduling because it directly matches the concept asked in this question.
140,Which annotation schedules a method with a cron or fixed delay?,@Scheduled|@Async|@EventListener|@Cacheable,0,spring,The correct answer is @Scheduled because it directly matches the concept asked in this question.
141,Which expression language is used inside Spring configuration and annotations?,SpEL|OGNL only|MVEL only|XPath,0,spring,The correct answer is SpEL because it directly matches the concept asked in this question.
142,Which prefix is used for SpEL expressions in annotations?,#{...}|${...}|@{...}|%{...},0,spring,The correct answer is #{...} because it directly matches the concept asked in this question.
143,Which placeholder syntax is commonly used for property values in Spring?,${...}|#{...}|<...>|%(...)s,0,spring,The correct answer is ${...} because it directly matches the concept asked in this question.
144,Which annotation can mark a dependency for lazy initialization?,@Lazy|@DependsOn|@Role|@Import,0,spring,The correct answer is @Lazy because it directly matches the concept asked in this question.
145,Which annotation declares that one bean depends on another bean being initialized first?,@DependsOn|@Order|@Primary|@Qualifier,0,spring,The correct answer is @DependsOn because it directly matches the concept asked in this question.
146,Which annotation imports additional configuration classes?,@Import|@Include|@EnableConfig|@ComponentScanOnly,0,spring,The correct answer is @Import because it directly matches the concept asked in this question.
147,Which annotation enables AspectJ auto proxy support in Java config?,@EnableAspectJAutoProxy|@EnableAopProxy|@EnableProxyBeans|@ProxyConfig,0,spring,The correct answer is @EnableAspectJAutoProxy because it directly matches the concept asked in this question.
148,Which Spring testing annotation loads an application context for integration tests?,@SpringJUnitConfig|@MockBean|@DirtiesContextOnly|@NestedTestConfig,0,spring,The correct answer is @SpringJUnitConfig because it directly matches the concept asked in this question.
149,Which Spring test annotation indicates a context should be reloaded after a test?,@DirtiesContext|@Rollback|@Commit|@SqlConfig,0,spring,The correct answer is @DirtiesContext because it directly matches the concept asked in this question.
150,Which utility class in Spring tests can perform requests against MVC controllers?,MockMvc|TestRestTemplate|WebClient|JdbcTemplate,0,spring,The correct answer is MockMvc because it directly matches the concept asked in this question.
